"index","station_name","latlng","lat","lng","district"
"0","仁武區公所(派出所)","22.7015,120.34846","22.7015","120.34846","高雄市仁武區"
"0","黃埔新村","22.62042,120.36436","22.62042","120.36436","高雄市鳳山區"
"0","仁武里","22.70236,120.35213","22.70236","120.35213","高雄市仁武區"
"0","文武橋","22.9868,120.63707","22.9868","120.63707","高雄市六龜區"
"0","安樂一街口","22.70927,120.35315","22.70927","120.35315","高雄市仁武區"
"0","後庄(中正路)","22.71479,120.35206","22.71479","120.35206","高雄市仁武區"
"0","林子邊","22.72239,120.35043","22.72239","120.35043","高雄市大社區"
"0","三奶里","22.72692,120.3484","22.72692","120.3484","高雄市大社區"
"0","大社農會","22.72956,120.34683","22.72956","120.34683","高雄市大社區"
"0","三中路口(三民路)","22.73076,120.34332","22.73076","120.34332","高雄市大社區"
"0","高雄少年法院","22.73096,120.33538","22.73096","120.33538","高雄市楠梓區"
"0","楠梓路口","22.72832,120.33032","22.72832","120.33032","高雄市楠梓區"
"0","東門","22.62365,120.36938","22.62365","120.36938","高雄市鳳山區"
"0","崎漏電信局","22.87458,120.19386","22.87458","120.19386","高雄市茄萣區"
"0","永豐路口","22.60566,120.33413","22.60566","120.33413","高雄市前鎮區"
"0","中一街","22.72077,120.30716","22.72077","120.30716","高雄市楠梓區"
"0","草衙市場","22.57849,120.32236","22.57849","120.32236","高雄市前鎮區"
"0","銘傳路口(九如四路)","22.66576,120.28433","22.66576","120.28433","高雄市鼓山區"
"0","岡山農工(河華路)","22.80128,120.29085","22.80128","120.29085","高雄市岡山區"
"0","捷運鳳山站","22.62598,120.35614","22.62598","120.35614","高雄市鳳山區"
"0","台上街","22.80493,120.29722","22.80493","120.29722","高雄市岡山區"
"0","文山學園","22.64081,120.34879","22.64081","120.34879","高雄市鳳山區"
"0","大埤","22.88042,120.34639","22.88042","120.34639","高雄市阿蓮區"
"0","黃埔四村","22.62233,120.37373","22.62233","120.37373","高雄市鳳山區"
"0","臺鐵內惟站","22.66575,120.28801","22.66575","120.28801","高雄市鼓山區"
"0","赤崁東路(新富光)","22.74207,120.25348","22.74207","120.25348","高雄市梓官區"
"0","民權路","22.73471,120.34862","22.73471","120.34862","高雄市大社區"
"0","八德路一(鳳松路口)","22.63864,120.3624","22.63864","120.3624","高雄市鳳山區"
"0","前鋒社區","22.66734,120.28548","22.66734","120.28548","高雄市鼓山區"
"0","舊鐵橋溼地(三和瓦窯)","22.663,120.4264","22.663","120.4264","高雄市大樹區"
"0","大昌醫院","22.65779,120.31989","22.65779","120.31989","高雄市三民區"
"0","崎漏農會","22.8738,120.19145","22.8738","120.19145","高雄市茄萣區"
"0","五甲三誠路口","22.59221,120.32684","22.59221","120.32684","高雄市鳳山區"
