,station_name,lat,lng,district
256,中山高中,22.72834,120.29171,P7HR+8MP 台灣高雄市楠梓區
257,左營高中,22.69357,120.29704,M7VW+CRF 台灣高雄市左營區
258,北昌五街口,22.64303,120.37408,J9VF+6J8 台灣高雄市鳳山區
259,左營南站,22.67954,120.28732,M7HP+RW8 台灣高雄市左營區
260,極光精舍,22.59372,120.40752,HCV5+F2J 台灣高雄市大寮區
261,海青工商,22.67478,120.28653,M7FP+WJ6 台灣高雄市左營區
262,明誠中學,22.66574,120.29155,M78R+7JV 台灣高雄市鼓山區
263,海專路口(德賢路),22.72765,120.30922,P8H5+3M5 台灣高雄市楠梓區
264,立群路口,22.56302,120.35518,H974+633 台灣高雄市小港區
265,軟體園區,22.6046,120.29933,J73X+RPW 台灣高雄市前鎮區
266,中興里,22.72476,120.27765,P7FH+W32 台灣高雄市楠梓區
267,山明里,22.5621,120.3665,H968+RHX 台灣高雄市小港區
268,三丘田,22.87775,120.59981,VHHX+3WV 台灣高雄市六龜區
269,紫竹寺,22.99892,120.5518,XHX2+HP7 台灣高雄市杉林區
270,榮佑路,22.68176,120.32083,M8JC+P84 台灣高雄市左營區
271,新福市場,22.59252,120.41063,HCV6+272 台灣高雄市大寮區
272,岡山國小,22.79092,120.29449,Q7RV+9Q9 台灣高雄市岡山區
273,中正堂(岡山),22.79077,120.28939,Q7RQ+8Q2 台灣高雄市岡山區
274,大義二路口,22.78744,120.28648,Q7PP+XHH 台灣高雄市岡山區
275,醒村,22.78445,120.28423,Q7MM+QMH 台灣高雄市岡山區
276,後協,22.78434,120.28229,Q7MJ+PWM 台灣高雄市岡山區
277,西後協,22.78433,120.27648,Q7MG+PHQ 台灣高雄市岡山區
278,頂潭路口,22.77905,120.26981,Q7H9+JW7 台灣高雄市岡山區
279,福興里,22.77715,120.26919,Q7G9+VM8 台灣高雄市岡山區
280,石螺潭,22.7726,120.26843,Q7F9+29M 台灣高雄市岡山區
281,包公廟路口,22.59176,120.41381,HCR7+PG3 台灣高雄市大寮區
282,春木工廠,22.76582,120.26733,Q788+8WG 台灣高雄市梓官區
283,北梓官,22.76251,120.26684,Q778+2P4 台灣高雄市梓官區
284,大舍甲農會(大舍西路),22.74695,120.26151,P7W6+QJC 台灣高雄市梓官區
285,赤崁東路(北赤崁),22.74045,120.25106,P7R2+5CF 台灣高雄市梓官區
286,赤崁(梓官),22.73761,120.24765,P6QX+23R 台灣高雄市梓官區
287,蚵寮國小(南赤崁),22.73443,120.2494,P6MX+QQC 台灣高雄市梓官區
288,蚵寮教會,22.73336,120.25052,P7M2+86R 台灣高雄市梓官區
289,茄冬坑,22.735,120.25401,P7M3+XJR 台灣高雄市梓官區
290,典寶,22.73699,120.25813,P7P5+Q7R 台灣高雄市梓官區
291,典寶橋,22.73832,120.26436,P7Q7+8PH 台灣高雄市梓官區
292,大寮國小,22.5911,120.41681,HCR8+CPM 台灣高雄市大寮區
293,北林路,22.56028,120.36815,H969+476 台灣高雄市小港區
294,新光人壽,22.50016,120.39288,G92V+356 台灣高雄市林園區
295,六龜大橋,22.99665,120.64144,XJWR+MH8 台灣高雄市六龜區
296,南屏路,22.657,120.30007,M842+Q2W 台灣高雄市鼓山區
